name,steamid,team_name,kills,assists,deaths,headshots,hs_%,kd,kast,avg_damages_per_round,avg_kills_per_round,avg_death_per_round,utility_damage_per_round,health_damage,armor_damage,utility_damage,first_kill,first_death,trade_kill,trade_death,1k,2k,3k,4k,5k,match_checksum,tournament
XANTARES,76561198044118796,Eternal Fire,23,10,21,14,60,1.095238,76.666664,94.76667,0.766667,0.7,1.333333,2843,397,40,6,4,3,7,8,4,1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
zont1x,76561198995880877,Team Spirit,24,9,22,7,29,1.090909,76.666664,89.599998,0.8,0.733333,10.9,2688,481,327,6,5,3,8,9,4,1,1,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,20,7,21,13,65,0.952381,66.666672,70.566666,0.666667,0.7,3.633333,2117,400,109,2,1,5,1,12,4,0,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
woxic,76561198083485506,Eternal Fire,25,6,11,10,40,2.272727,86.666664,80.800003,0.833333,0.366667,6.533333,2424,262,196,1,1,3,1,12,5,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
Wicadia,76561198812513923,Eternal Fire,20,4,22,10,50,0.909091,56.666668,65.866669,0.666667,0.733333,6.6,1976,369,198,2,5,3,3,6,4,2,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,18,5,23,12,66,0.782609,70.0,60.599998,0.6,0.766667,1.566667,1818,417,47,5,5,3,6,9,3,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
sh1ro,76561198081484775,Team Spirit,23,7,16,5,21,1.4375,86.666664,79.400002,0.766667,0.533333,4.3,2382,301,129,2,0,8,1,11,5,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
magixx,76561199063238565,Team Spirit,18,6,19,7,38,0.947368,70.0,75.400002,0.6,0.633333,10.033334,2262,294,301,0,3,3,4,8,2,2,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
MAJ3R,76561197967432889,Eternal Fire,15,11,25,8,53,0.6,63.333332,66.800003,0.5,0.833333,4.0,2004,321,120,4,4,3,6,10,1,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,16,7,24,9,56,0.666667,76.666664,58.666668,0.533333,0.8,3.533333,1760,306,106,2,2,5,8,9,2,1,0,0,59e5b2c76e05bce0,BLAST Bounty 2025 Season 1 Finals
XANTARES,76561198044118796,Eternal Fire,12,4,14,9,75,0.857143,68.421051,65.736839,0.631579,0.736842,2.315789,1249,116,44,3,4,2,2,3,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
chopper,76561198045898864,Team Spirit,16,6,8,7,43,2.0,68.421051,72.157898,0.842105,0.421053,1.631579,1371,245,31,1,1,5,1,3,5,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
donk,76561198386265483,Team Spirit,17,6,14,13,76,1.214286,73.684212,101.789474,0.894737,0.736842,4.736842,1934,302,90,5,0,3,1,8,3,1,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
jottAAA,76561198410750263,Eternal Fire,9,0,15,3,33,0.6,52.63158,55.684212,0.473684,0.789474,0.315789,1058,211,6,0,2,4,2,3,3,0,0,0,2a4c3f36d8d46afa,BLAST Bounty 2025 Season 1 Finals
